Sat Sep 22 00:00:14 CDT 2018 no coc
Sat Sep 22 00:00:34 CDT 2018 waiting for Home
Sat Sep 22 00:00:34 CDT 2018 No match Home
Sat Sep 22 00:00:34 CDT 2018 skip check BuilderHome
Sat Sep 22 00:00:38 CDT 2018 waiting for Home
Sat Sep 22 00:00:38 CDT 2018 No match Home
Sat Sep 22 00:00:38 CDT 2018 skip check BuilderHome
Sat Sep 22 00:00:42 CDT 2018 waiting for Home
Sat Sep 22 00:00:42 CDT 2018 No match Home
Sat Sep 22 00:00:42 CDT 2018 skip check BuilderHome
Sat Sep 22 00:00:46 CDT 2018 waiting for Home
Sat Sep 22 00:00:46 CDT 2018 No match Home
Sat Sep 22 00:00:46 CDT 2018 skip check BuilderHome
Sat Sep 22 00:00:50 CDT 2018 waiting for Home
Sat Sep 22 00:00:50 CDT 2018 No match Home
Sat Sep 22 00:00:50 CDT 2018 skip check BuilderHome
Sat Sep 22 00:00:54 CDT 2018 waiting for Home
Sat Sep 22 00:00:54 CDT 2018 No match Home
Sat Sep 22 00:00:54 CDT 2018 skip check BuilderHome
Sat Sep 22 00:00:58 CDT 2018 waiting for Home
Sat Sep 22 00:00:58 CDT 2018 No match Home
Sat Sep 22 00:00:58 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:02 CDT 2018 waiting for Home
Sat Sep 22 00:01:02 CDT 2018 No match Home
Sat Sep 22 00:01:02 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:06 CDT 2018 waiting for Home
Sat Sep 22 00:01:06 CDT 2018 No match Home
Sat Sep 22 00:01:06 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:11 CDT 2018 waiting for Home
Sat Sep 22 00:01:11 CDT 2018 No match Home
Sat Sep 22 00:01:11 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:15 CDT 2018 waiting for Home
Sat Sep 22 00:01:15 CDT 2018 No match Home
Sat Sep 22 00:01:15 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:20 CDT 2018 waiting for Home
Sat Sep 22 00:01:20 CDT 2018 No match Home
Sat Sep 22 00:01:20 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:24 CDT 2018 waiting for Home
Sat Sep 22 00:01:24 CDT 2018 No match Home
Sat Sep 22 00:01:24 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:28 CDT 2018 waiting for Home
Sat Sep 22 00:01:28 CDT 2018 No match Home
Sat Sep 22 00:01:28 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:32 CDT 2018 waiting for Home
Sat Sep 22 00:01:32 CDT 2018 No match Home
Sat Sep 22 00:01:32 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:36 CDT 2018 waiting for Home
Sat Sep 22 00:01:36 CDT 2018 No match Home
Sat Sep 22 00:01:36 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:40 CDT 2018 waiting for Home
Sat Sep 22 00:01:40 CDT 2018 No match Home
Sat Sep 22 00:01:40 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:44 CDT 2018 waiting for Home
Sat Sep 22 00:01:44 CDT 2018 No match Home
Sat Sep 22 00:01:44 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:48 CDT 2018 waiting for Home
Sat Sep 22 00:01:48 CDT 2018 No match Home
Sat Sep 22 00:01:48 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:52 CDT 2018 waiting for Home
Sat Sep 22 00:01:52 CDT 2018 No match Home
Sat Sep 22 00:01:52 CDT 2018 skip check BuilderHome
Sat Sep 22 00:01:56 CDT 2018 waiting for Home
Sat Sep 22 00:01:56 CDT 2018 No match Home
Sat Sep 22 00:01:56 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:00 CDT 2018 waiting for Home
Sat Sep 22 00:02:00 CDT 2018 No match Home
Sat Sep 22 00:02:00 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:04 CDT 2018 waiting for Home
Sat Sep 22 00:02:04 CDT 2018 No match Home
Sat Sep 22 00:02:04 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:08 CDT 2018 waiting for Home
Sat Sep 22 00:02:08 CDT 2018 No match Home
Sat Sep 22 00:02:08 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:12 CDT 2018 waiting for Home
Sat Sep 22 00:02:12 CDT 2018 No match Home
Sat Sep 22 00:02:12 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:16 CDT 2018 waiting for Home
Sat Sep 22 00:02:16 CDT 2018 No match Home
Sat Sep 22 00:02:16 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:21 CDT 2018 waiting for Home
Sat Sep 22 00:02:21 CDT 2018 No match Home
Sat Sep 22 00:02:21 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:25 CDT 2018 waiting for Home
Sat Sep 22 00:02:25 CDT 2018 No match Home
Sat Sep 22 00:02:25 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:29 CDT 2018 waiting for Home
Sat Sep 22 00:02:29 CDT 2018 No match Home
Sat Sep 22 00:02:29 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:33 CDT 2018 waiting for Home
Sat Sep 22 00:02:33 CDT 2018 No match Home
Sat Sep 22 00:02:33 CDT 2018 skip check BuilderHome
Sat Sep 22 00:02:37 CDT 2018 waiting for Home
Sat Sep 22 00:02:37 CDT 2018 No match Home
Sat Sep 22 00:02:37 CDT 2018 skip check BuilderHome
